CUSTOMER ID,CUSTOMER NAME,PHONE NO,PRODUCT CATEGORY,PRODUCT NAME,ISSUES,SEVERITY,CREATED BY,OPENED,CLOSED,DATE OPENED,DATECLOSED
57082,Sam,324-4473-99,Laptop,Ace TouchPad 2000,Power Button not working,High,Rohan,11:00 AM,4:00 PM,"December 4, 2020","December 5, 2020"
44986,Preston,290-1272-86,Laptop,Ace Notebook 2.0,Battery does not charge upto 100%,Medium,Ahmed,12:00 PM,1:00 PM,"November 14, 2020","November 16, 2020"
25380,Arnold,077-9303-75,Laptop,Ace Notebook 1.0,Battery replacement,Low,Raj,7:00 AM,6:00 PM,"December 26, 2020","December 29, 2020"
60230,Vanessa,560-0342-45,Laptop,Ace Notebook 1.0,Screen Flickering when connected to charger,Medium,Surya,5:00 PM,7:00 PM,"December 17, 2020","December 19, 2020"
76732,Haris,055-3441-13,Laptop,Ace Notebook 1.0,"Battery not charging, laptop works with charger",Low,Abhishek,7:00 PM,8:00 AM,"December 13, 2020","December 16, 2020"
39639,Briony,905-9502-65,Laptop,Ace TouchPad 2000,Charging port is loose,High,Rohan,8:00 AM,2:00 PM,"December 8, 2020","December 9, 2020"
90365,Honey,284-3288-30,Laptop,Ace Lappy 1126,Keyboard not working,Medium,Rohan,2:00 PM,1:00 PM,"December 12, 2020","December 13, 2020"
46833,Paige,175-8420-30,Laptop,Ace TouchPad 2000,Touchscreen not working,Medium,Rohan,1:00 PM,10:00 AM,"October 12, 2020","October 14, 2020"
18891,Aldus,621-8812-40,Laptop,Ace Notebook 2.0 Lite,Display cracked,High,Rohan,10:00 AM,9:00 PM,"December 17, 2020","December 18, 2020"
81800,Agata,418-5508-62,Tablet,Ace NotePad 4,Screen borken,High,Rohan,9:00 AM,4:00 PM,"October 12, 2020","October 13, 2020"
6703,Charlie,909-8751-07,Tablet,Ace Tablet 500 Mini,Touchpad not working,High,Rohan,4:00 PM,12:00 PM,"November 7, 2020","November 8, 2020"
55414,Alford,903-1656-20,Tablet,Ace Swift F20 Lite,Not charging,High,Rohan,12:00 PM,7:00 PM,"November 3, 2020","November 4, 2020"
56011,Steven,767-2428-13,Tablet,Ace NotePad 4,Overheating very often,Medium,Rohan,7:00 PM,9:00 AM,"October 16, 2020","October 17, 2020"
64000,Amber,526-8035-16,Tablet,Ace Tab E750 Pro,Not charging,High,Rohan,9:00 AM,11:00 AM,"October 26, 2020","October 27, 0202"
7242,Eddy,981-8587-51,Tablet,Ace Tablet 500 Mini,Issue connecting to networks,Low,Rohan,11:00 AM,12:00 PM,"December 31, 2020","January 3, 2021"
79859,Evelyn,120-7642-46,Phone,Ace M31 Prime,Phone lags and freezes,Medium,Rohan,12:00 PM,2:00 PM,"November 14, 2020","November 15, 2020"
18746,Haris,775-0490-78,Phone,Ace 6,Overheating,Low,Abhishek,2:00 PM,3:00 PM,"December 25, 2020","December 29, 2020"
94304,Sophia,081-2247-63,Phone,Ace 5s,"Water damage, phone dead",High,Abhishek,3:00 PM,8:00 PM,"October 14, 2020","October 15, 2020"
1715,Thomas,386-8463-51,Phone,Ace X3,Display cracked completely,High,Abhishek,8:00 PM,3:00 PM,"November 14, 2020","November 15, 2020"
77604,Emily,788-2643-06,Phone,Ace Galaxy S9,Ace pen not recognized,Low,Abhishek,3:00 PM,5:00 PM,"November 7, 2020","November 9, 2020"
93818,Garry,415-1734-93,Phone,Ace 6s+,Damaged charging port,High,Abhishek,5:00 PM,6:00 PM,"December 30, 2020","December 31, 2020"
26590,Caroline,489-0765-10,Phone,Ace Galaxy S10,Ace pen not recognized,Low,Abhishek,6:00 PM,7:00 PM,"October 27, 2020","October 30, 2020"
72993,Penelope,690-8435-34,Phone,Ace 5s,Phone dead,High,Abhishek,7:00 PM,6:00 PM,"October 2, 2020","October 3, 2021"
7721,Edgar,822-3699-15,Phone,Ace Galaxy S6,Cannot download apps,Medium,Abhishek,10:00 PM,11:00 AM,"December 27, 2020","December 28, 2020"
61956,Fiona,988-3514-00,Phone,Ace 5,Cannot connect to wifi,Low,Abhishek,11:00 AM,12:00 PM,"December 2, 2020","December 5, 2020"
20067,William,498-4717-77,Phone,Ace 5,Low battery life,Low,Abhishek,12:00 PM,7:00 AM,"October 14, 2020","October 16, 2020"
10211,Kimberly,958-2476-82,Phone,Ace X3,Phone crashes and reboots often,High,Abhishek,7:00 AM,5:00 PM,"December 30, 2020","December 31, 2020"
80457,Mary,747-3287-04,Phone,Ace Galaxy S10,Charger port damaged,High,Abhishek,5:00 PM,7:00 PM,"October 12, 2020","October 12, 2020"
45839,Henry,379-7151-89,Phone,Ace X3,Screen cracked partially,Medium,Abhishek,7:00 PM,8:00 AM,"November 4, 2020","November 5, 2020"
99650,Byron,891-5040-15,Phone,Ace Galaxy S9,Touchpad not working,High,Abhishek,5:00 PM,2:00 PM,"November 26, 2020","November 27, 2021"
8553,Violet,954-9195-33,Phone,Ace M31 Prime,Unresponsive power button,Medium,Surya,2:00 PM,1:00 PM,"November 19, 2020","November 21, 0202"
86139,Briony,893-4091-40,Phone,Ace X3,Low battery life,Low,Surya,1:00 PM,10:00 AM,"November 17, 2020","November 20, 0202"
6334,Alexia,997-0999-25,Phone,Ace 6s+,Phone lagging,Low,Surya,10:00 AM,9:00 AM,"October 14, 2020","October 16, 2020"
24728,Lily,344-9224-62,Desktop,Ace A700,Overheating,Medium,Surya,9:00 AM,4:00 PM,"November 12, 2020","November 13, 2020"
16578,Lilianna,494-9108-97,Desktop,Ace Quantum Core 5278,Blue screen,High,Surya,4:00 PM,6:00 PM,"November 22, 2020","November 23, 2020"
62881,Victor,503-4092-44,Desktop,Ace PC 3699,Display broken,High,Surya,12:00 PM,12:00 AM,"November 11, 2020","November 12, 2020"
74644,Alisa,277-3679-69,Desktop,Ace Zeus V01,Fans not working,High,Surya,7:00 PM,9:00 AM,"December 15, 2020","December 16, 2020"
60554,Kimberly,099-1157-02,Desktop,Ace Zeus V01,Keyboard not responding,Medium,Surya,9:00 AM,11:00 AM,"October 25, 2020","October 26, 2020"
28396,Garry,146-4948-73,Tablet,Ace Tablet 500 Mini,Low battery life,Low,Surya,11:00 AM,12:00 PM,"December 29, 2020","December 31, 2020"
25901,Carl,040-3864-24,Tablet,Ace Tablet 500 Mini,Display cracked completely,High,Surya,12:00 PM,2:00 PM,"October 20, 2020","October 21, 2020"
22125,Fenton,198-3413-15,Tablet,Ace NotePad 2,Pen not working,Medium,Surya,2:00 PM,3:00 PM,"December 31, 2020","January 2, 2021"
6143,Sydney,529-2346-56,Tablet,Ace Tab E750,Keypad not working,Medium,Surya,3:00 PM,2:00 PM,"November 9, 2020","November 11, 2020"
55598,Annabella,937-2320-66,Tablet,Ace NotePad 4,Touchpad not working,High,Surya,8:00 PM,3:00 PM,"October 14, 2020","October 15, 2020"
26822,Garry,189-5763-59,Tablet,Ace Swift F20,Water damage,High,Surya,3:00 PM,8:00 PM,"October 27, 2020","October 27, 2020"
96568,Caroline,811-0710-50,Tablet,Ace Tab E750 Pro,Volume buttons unresponsive,Medium,Surya,7:00 PM,6:00 PM,"October 24, 2020","October 25, 2020"
13412,David,783-5749-91,Tablet,Ace Swift F20 Lite,Touchpad not working,High,Surya,6:00 PM,3:00 PM,"November 22, 2020","November 23, 2020"
84961,Tess,228-8522-27,Tablet,Ace Swift F20,Extremely sLow and lagging,Medium,Ahmed,7:00 PM,10:00 PM,"October 14, 2020","October 15, 2020"
70109,Chloe,921-9520-39,Phone,Ace 6s+,Battery not charging,High,Ahmed,10:00 PM,9:00 AM,"December 27, 2020","December 28, 2020"
96331,Dainton,942-0989-89,Phone,Ace M31 Prime,Power Button not working,Medium,Ahmed,8:00 AM,2:00 PM,"October 1, 2020","October 2, 2020"
88135,Preston,678-1395-27,Phone,Ace X3,Display damaged,High,Ahmed,2:00 PM,11:00 AM,"November 23, 2020","November 24, 2020"
25690,Ted,919-3379-61,Phone,Ace 6s+,Headphone port not working,Medium,Ahmed,1:00 PM,12:30 AM,"December 18, 2020","December 19, 2020"
12745,Blake,079-8678-85,Phone,Ace 5s,Phone lagging,Low,Ahmed,10:00 AM,3:00 PM,"November 24, 2020","November 27, 2020"
28741,Brooke,648-8058-08,Phone,Ace Galaxy S6,Screen buring,Medium,Ahmed,11:00 AM,9:45 AM,"December 13, 2020","December 14, 2020"
66061,Jenna,317-9952-66,Phone,Ace M31 Prime,Speakers not working,High,Ahmed,4:00 PM,8:00 PM,"October 7, 2020","October 7, 2020"
31032,Jessica,908-8062-73,Phone,Ace M31 Prime,Calling feature unresponsive,High,Ahmed,12:00 PM,10:00 AM,"October 15, 2020","October 16, 2020"
97622,Natalie,411-5902-30,Phone,Ace 6,Speakers damaged,Medium,Ahmed,7:00 PM,10:00 PM,"November 9, 2020","November 10, 2020"
6018,Wilson,322-8190-15,Phone,Ace 5,Phone reebots often,High,Ahmed,8:00 AM,7:00 AM,"December 30, 2020","December 31, 2020"
60249,Adrian,602-7402-11,Phone,Ace 5,Not charging,High,Ahmed,11:00 AM,9:00 AM,"November 1, 2020","November 2, 2020"
54940,Maria,997-6826-21,Phone,Ace X3,Touchpad unresponsive,High,Ahmed,12:00 PM,8:00 AM,"October 23, 2020","October 24, 2020"
82014,Naomi,887-3614-34,Phone,Ace 5s,Water damage,High,Ahmed,2:00 PM,2:00 PM,"December 24, 2020","December 25, 2020"
23331,Madaline,164-2807-68,Phone,Ace X3,Low battery life,Low,Ahmed,3:00 PM,1:00 PM,"December 22, 2020","December 25, 2020"
84061,Jenna,782-3599-55,Phone,Ace 5,Doesnot charge upto 100%,Medium,Raj,8:00 PM,10:00 AM,"October 28, 2020","October 29, 2020"
73279,Savana,634-0081-36,Phone,Ace Galaxy S4,Can't connect to wifi,Medium,Raj,3:00 PM,9:00 AM,"October 7, 2020","October 9, 2020"
78510,Adele,719-3254-35,Phone,Ace 6s+,SLow Phone,Low,Raj,5:00 PM,4:00 PM,"December 10, 2020","December 13, 2020"
13418,Kevin,380-2343-16,Laptop,Ace Swift F20 Lite,Speakers not working,Medium,Raj,6:00 PM,12:00 PM,"November 3, 2020","November 8, 2020"
8614,Penelope,112-6455-75,Laptop,Ace Swift F20 Lite,Low battery life,Low,Raj,7:00 PM,3:00 PM,"November 24, 2020","November 26, 2020"
65382,Ryan,419-9684-57,Laptop,Ace SparX,Cannot install apps,Medium,Raj,10:00 PM,9:00 AM,"December 31, 2020","January 2, 2021"
21467,Paige,578-5707-31,Laptop,Ace Notebook 2.0 Lite,RAM not accessible,High,Raj,5:00 PM,11:00 AM,"October 30, 2020","October 31, 2020"
60540,Ryan,689-5683-99,Laptop,Ace Lappy 1126,Cannot install updates,Low,Raj,7:00 PM,12:00 PM,"December 10, 2020","December 13, 2020"
6285,Sawyer,899-4560-35,Laptop,Ace SparX Pro,Display damaged,High,Raj,11:32 AM,10:00 AM,"November 16, 2020","November 17, 2020"
10755,Kellan,249-6204-63,Laptop,Ace Infinite,Touchscreen unresponsive sometimes,Low,Raj,2:00 PM,3:00 PM,"December 26, 2020","December 29, 2020"
68576,Marcus,937-4026-99,Laptop,Ace TouchPad 2000,Keyboard damaged,Medium,Raj,1:00 PM,8:00 AM,"October 3, 2020","October 5, 2020"
26856,Henry,492-0374-00,Laptop,Ace Flare S6,Touchscreen unresponsive,Medium,Raj,10:00 AM,3:00 PM,"October 3, 2020","October 4, 2020"
80868,Jenna,854-7567-33,Laptop,Ace Lappy 1126,Water damage,High,Raj,9:00 AM,5:00 PM,"October 13, 2020","October 13, 2020"
45755,Eddy,211-1370-56,Desktop,Ace Quantum Core 5278,Processor burning,High,Raj,4:00 PM,1:30 PM,"November 12, 2020","November 13, 2020"
1847,Isabella,374-2492-21,Desktop,Ace Pro 2000,Keyboard unresponsive,Medium,Rohan,12:00 PM,7:00 PM,"December 15, 2020","December 17, 2020"
75512,Anna,127-6684-17,Desktop,Ace Zeus V01,Fans not working sometimes,Medium,Rohan,7:00 PM,10:00 PM,"October 29, 2020","October 30, 2020"
61596,James,699-2467-75,Desktop,Ace Pro 1000,Cannot install updates,Low,Rohan,9:00 AM,11:00 AM,"December 10, 2020","December 12, 2020"
