CUSTOMER ID,CUSTOMER NAME,PHONE NO,PRODUCT CATEGORY,PRODUCT NAME,ISSUES,,SEVERITY,CREATED BY,OPENED,CLOSED,DATE-OPENED,DATECLOSED,s,d,Hours,Days
57082,Sam,324-4473-99,Laptop,Ace TouchPad 2000,Power Button not working,,High,Rohan,11:00 AM,4:00 PM,04-11-2020,05-11-2020,04-11-2020 11:00,05-11-2020 16:00,29,2
44986,Preston,290-1272-86,Laptop,Ace Notebook 2.0,Battery does not charge upto 100%,3,Medium,Ahmed,12:00 PM,1:00 PM,11-14-2020,11-16-2020,14-11-2020 00:00,16-11-2020 00:00,48,2
25380,Arnold,077-9303-75,Laptop,Ace Notebook 1.0,Battery replacement,3,Low,Raj,7:00 AM,6:00 PM,12-26-2020,12-29-2020,26-12-2020 00:00,29-12-2020 00:00,72,3
60230,Vanessa,560-0342-45,Laptop,Ace Notebook 1.0,Screen Flickering when connected to charger,,Medium,Surya,5:00 PM,7:00 PM,12-17-2020,12-19-2020,17-12-2020 00:00,19-12-2020 00:00,48,2
76732,Haris,055-3441-13,Laptop,Ace Notebook 1.0,"Battery not charging, laptop works with charger",3,Low,Abhishek,7:00 PM,8:00 AM,12-13-2020,12-16-2020,13-12-2020 00:00,16-12-2020 00:00,72,3
39639,Briony,905-9502-65,Laptop,Ace TouchPad 2000,Charging port is loose,,High,Rohan,8:00 AM,2:00 PM,12-08-2020,12-09-2020,12-08-2020 08:00,12-09-2020 14:00,750,32
90365,Honey,284-3288-30,Laptop,Ace Lappy 1126,Keyboard not working,,Medium,Rohan,2:00 PM,1:00 PM,12-12-2020,12-13-2020,12-12-2020 14:00,13-12-2020 00:00,10,1
46833,Paige,175-8420-30,Laptop,Ace TouchPad 2000,Touchscreen not working,,Medium,Rohan,1:00 PM,10:00 AM,10-12-2020,10-14-2020,10-12-2020 13:00,14-10-2020 00:00,1381,58
18891,Aldus,621-8812-40,Laptop,Ace Notebook 2.0 Lite,Display cracked,,High,Rohan,10:00 AM,9:00 PM,12-17-2020,12-18-2020,17-12-2020 00:00,18-12-2020 00:00,24,1
81800,Agata,418-5508-62,Tablet,Ace NotePad 4,Screen borken,,High,Rohan,9:00 AM,4:00 PM,10-12-2020,10-13-2020,10-12-2020 09:00,13-10-2020 00:00,1401,59
6703,Charlie,909-8751-07,Tablet,Ace Tablet 500 Mini,Touchpad not working,,High,Rohan,4:00 PM,12:00 PM,11-07-2020,11-08-2020,11-07-2020 16:00,11-08-2020 12:00,740,31
55414,Alford,903-1656-20,Tablet,Ace Swift F20 Lite,Not charging,,High,Rohan,12:00 PM,7:00 PM,11-03-2020,11-04-2020,11-03-2020 12:00,11-04-2020 19:00,751,32
56011,Steven,767-2428-13,Tablet,Ace NotePad 4,Overheating very often,,Medium,Rohan,7:00 PM,9:00 AM,10-16-2020,10-17-2020,16-10-2020 00:00,17-10-2020 00:00,24,1
64000,Amber,526-8035-16,Tablet,Ace Tab E750 Pro,Not charging,,High,Rohan,9:00 AM,11:00 AM,10-26-2020,10-27-2020,26-10-2020 00:00,27-10-2020 00:00,24,1
7242,Eddy,981-8587-51,Tablet,Ace Tablet 500 Mini,Issue connecting to networks,,Low,Rohan,11:00 AM,12:00 PM,12-31-2020,01-03-2021,31-12-2020 00:00,01-03-2021 12:00,1452,61
79859,Evelyn,120-7642-46,Phone,Ace M31 Prime,Phone lags and freezes,,Medium,Rohan,12:00 PM,2:00 PM,11-14-2020,11-15-2020,14-11-2020 00:00,15-11-2020 00:00,24,1
18746,Haris,775-0490-78,Phone,Ace 6,Overheating,,Low,Abhishek,2:00 PM,3:00 PM,12-25-2020,12-29-2020,25-12-2020 00:00,29-12-2020 00:00,96,4
