CUSTOMER ID,CUSTOMER NAME,PHONE NO,PRODUCT CATEGORY,PRODUCT NAME,ISSUES,SEVERITY,CREATED BY,OPENED,CLOSED,DATE-OPENED,DATECLOSED,Hours,Days,STATUS
18746,Haris,775-0490-78,Phone,Ace 6,Overheating,Low,Abhishek,2:00 PM,3:00 PM,12-25-2020,12-29-2020,96,4,Closed
94304,Sophia,081-2247-63,Phone,Ace 5s,"Water damage, phone dead",High,Abhishek,3:00 PM,8:00 PM,10-14-2020,10-15-2020,24,1,Closed
1715,Thomas,386-8463-51,Phone,Ace X3,Display cracked completely,High,Abhishek,8:00 PM,3:00 PM,11-14-2020,11-15-2020,24,1,Closed
77604,Emily,788-2643-06,Phone,Ace Galaxy S9,Ace pen not recognized,Low,Abhishek,3:00 PM,5:00 PM,11-07-2020,11-09-2020,1490,63,Closed
93818,Garry,415-1734-93,Phone,Ace 6s+,Damaged charging port,High,Abhishek,5:00 PM,6:00 PM,12-30-2020,12-31-2020,24,1,Closed
26590,Caroline,489-0765-10,Phone,Ace Galaxy S10,Ace pen not recognized,Low,Abhishek,6:00 PM,7:00 PM,10-27-2020,10-30-2020,72,3,Closed
72993,Penelope,690-8435-34,Phone,Ace 5s,Phone dead,High,Abhishek,7:00 PM,6:00 PM,10-02-2020,10-03-2021,9455,394,Closed
7721,Edgar,822-3699-15,Phone,Ace Galaxy S6,Cannot download apps,Medium,Abhishek,10:00 PM,11:00 AM,12-27-2020,12-28-2020,24,1,Closed
61956,Fiona,988-3514-00,Phone,Ace 5,Cannot connect to wifi,Low,Abhishek,11:00 AM,12:00 PM,12-02-2020,11-05-2020,2137,90,Closed
20067,William,498-4717-77,Phone,Ace 5,Low battery life,Low,Abhishek,12:00 PM,7:00 AM,10-14-2020,10-16-2020,48,2,Closed
10211,Kimberly,958-2476-82,Phone,Ace X3,Phone crashes and reboots often,High,Abhishek,7:00 AM,5:00 PM,12-30-2020,12-31-2020,24,1,Closed
80457,Mary,747-3287-04,Phone,Ace Galaxy S10,Charger port damaged,High,Abhishek,5:00 PM,7:00 PM,10-12-2020,10-12-2020,2,1,Closed
45839,Henry,379-7151-89,Phone,Ace X3,Screen cracked partially,Medium,Abhishek,7:00 PM,8:00 AM,11-04-2020,11-05-2020,709,30,Closed
99650,Byron,891-5040-15,Phone,Ace Galaxy S9,Touchpad not working,High,Abhishek,5:00 PM,2:00 PM,11-26-2020,11-27-2021,8784,366,Closed
8553,Violet,954-9195-33,Phone,Ace M31 Prime,Unresponsive power button,Medium,Surya,2:00 PM,1:00 PM,11-19-2020,11-21-0202,718824,29951,Closed
86139,Briony,893-4091-40,Phone,Ace X3,Low battery life,Low,Surya,1:00 PM,10:00 AM,11-17-2020,11-20-0202,718848,29952,Closed
6334,Alexia,997-0999-25,Phone,Ace 6s+,Phone lagging,Low,Surya,10:00 AM,9:00 AM,10-14-2020,10-16-2020,48,2,Closed
24728,Lily,344-9224-62,Desktop,Ace A700,Overheating,Medium,Surya,9:00 AM,4:00 PM,11-12-2020,11-13-2020,681,29,Closed
16578,Lilianna,494-9108-97,Desktop,Ace Quantum Core 5278,Blue screen,High,Surya,4:00 PM,6:00 PM,11-22-2020,11-23-2020,24,1,Closed
62881,Victor,503-4092-44,Desktop,Ace PC 3699,Display broken,High,Surya,12:00 PM,12:00 AM,11-11-2020,11-12-2020,708,30,Closed
74644,Alisa,277-3679-69,Desktop,Ace Zeus V01,Fans not working,High,Surya,7:00 PM,9:00 AM,12-15-2020,12-16-2020,24,1,Closed
60554,Kimberly,099-1157-02,Desktop,Ace Zeus V01,Keyboard not responding,Medium,Surya,9:00 AM,11:00 AM,10-25-2020,10-26-2020,24,1,Closed
28396,Garry,146-4948-73,Tablet,Ace Tablet 500 Mini,Low battery life,Low,Surya,11:00 AM,12:00 PM,12-29-2020,12-31-2020,48,2,Closed
25901,Carl,040-3864-24,Tablet,Ace Tablet 500 Mini,Display cracked completely,High,Surya,12:00 PM,2:00 PM,10-20-2020,10-21-2020,24,1,Closed
22125,Fenton,198-3413-15,Tablet,Ace NotePad 2,Pen not working,Medium,Surya,2:00 PM,3:00 PM,12-31-2020,01-02-2021,783,33,Closed
6143,Sydney,529-2346-56,Tablet,Ace Tab E750,Keypad not working,Medium,Surya,3:00 PM,2:00 PM,11-09-2020,11-11-2020,1463,61,Closed
55598,Annabella,937-2320-66,Tablet,Ace NotePad 4,Touchpad not working,High,Surya,8:00 PM,3:00 PM,10-14-2020,10-15-2020,24,1,Closed
26822,Garry,189-5763-59,Tablet,Ace Swift F20,Water damage,High,Surya,3:00 PM,8:00 PM,10-27-2020,10-27-2020,0,0,Closed
96568,Caroline,811-0710-50,Tablet,Ace Tab E750 Pro,Volume buttons unresponsive,Medium,Surya,7:00 PM,6:00 PM,10-24-2020,10-25-2020,24,1,Closed
13412,David,783-5749-91,Tablet,Ace Swift F20 Lite,Touchpad not working,High,Surya,6:00 PM,3:00 PM,11-22-2020,11-23-2020,24,1,Closed
84961,Tess,228-8522-27,Tablet,Ace Swift F20,Extremely sLow and lagging,Medium,Ahmed,7:00 PM,10:00 PM,10-14-2020,10-15-2020,24,1,Closed
70109,Chloe,921-9520-39,Phone,Ace 6s+,Battery not charging,High,Ahmed,10:00 PM,9:00 AM,12-27-2020,12-28-2020,24,1,Closed
96331,Dainton,942-0989-89,Phone,Ace M31 Prime,Power Button not working,Medium,Ahmed,8:00 AM,2:00 PM,10-01-2020,10-02-2020,750,32,Closed
88135,Preston,678-1395-27,Phone,Ace X3,Display damaged,High,Ahmed,2:00 PM,11:00 AM,11-23-2020,11-24-2020,24,1,Closed
25690,Ted,919-3379-61,Phone,Ace 6s+,Headphone port not working,Medium,Ahmed,1:00 PM,12:30 AM,12-18-2020,12-19-2020,24,1,Closed
12745,Blake,079-8678-85,Phone,Ace 5s,Phone lagging,Low,Ahmed,10:00 AM,3:00 PM,11-24-2020,11-27-2020,72,3,Closed
28741,Brooke,648-8058-08,Phone,Ace Galaxy S6,Screen buring,Medium,Ahmed,11:00 AM,9:45 AM,12-13-2020,12-14-2020,24,1,Closed
66061,Jenna,317-9952-66,Phone,Ace M31 Prime,Speakers not working,High,Ahmed,4:00 PM,8:00 PM,10-07-2020,10-07-2020,4,1,Closed
31032,Jessica,908-8062-73,Phone,Ace M31 Prime,Calling feature unresponsive,High,Ahmed,12:00 PM,10:00 AM,10-15-2020,10-16-2020,24,1,Closed
97622,Natalie,411-5902-30,Phone,Ace 6,Speakers damaged,Medium,Ahmed,7:00 PM,10:00 PM,11-09-2020,11-10-2020,723,31,Closed
6018,Wilson,322-8190-15,Phone,Ace 5,Phone reebots often,High,Ahmed,8:00 AM,7:00 AM,12-30-2020,12-31-2020,24,1,Closed
60249,Adrian,602-7402-11,Phone,Ace 5,Not charging,High,Ahmed,11:00 AM,9:00 AM,11-01-2020,11-02-2020,742,31,Closed
54940,Maria,997-6826-21,Phone,Ace X3,Touchpad unresponsive,High,Ahmed,12:00 PM,8:00 AM,10-23-2020,10-24-2020,24,1,Closed
82014,Naomi,887-3614-34,Phone,Ace 5s,Water damage,High,Ahmed,2:00 PM,2:00 PM,12-24-2020,12-25-2020,24,1,Closed
23331,Madaline,164-2807-68,Phone,Ace X3,Low battery life,Low,Ahmed,3:00 PM,1:00 PM,12-22-2020,12-25-2020,72,3,Closed
84061,Jenna,782-3599-55,Phone,Ace 5,Doesnot charge upto 100%,Medium,Raj,8:00 PM,10:00 AM,10-28-2020,10-29-2020,24,1,Closed
